Prompt,Engine,Date,Brand mentioned?,Brand cited?,Brand position,URL cited,Competitor cited,Citation type,Answer text/snippet,Change from previous week,Notes
""What is Prompt&Co. and what do they do?"",ChatGPT,2026-09-14,,,,,,,,,
""What is Prompt&Co. and what do they do?"",Perplexity,2026-09-14,,,,,,,,,
""What is Prompt&Co. and what do they do?"",Google AI Overviews (AI Mode),2026-09-14,,,,,,,,,
""What is Prompt&Co. and what do they do?"",Gemini,2026-09-14,,,,,,,,,
""What is Prompt&Co. and what do they do?"",Microsoft Copilot,2026-09-14,,,,,,,,,
""Who is Prompt&Co.? Is it an AI search agency?"",ChatGPT,2026-09-14,,,,,,,,,
""Who is Prompt&Co.? Is it an AI search agency?"",Perplexity,2026-09-14,,,,,,,,,
""Who is Prompt&Co.? Is it an AI search agency?"",Google AI Overviews (AI Mode),2026-09-14,,,,,,,,,
""Who is Prompt&Co.? Is it an AI search agency?"",Gemini,2026-09-14,,,,,,,,,
""Who is Prompt&Co.? Is it an AI search agency?"",Microsoft Copilot,2026-09-14,,,,,,,,,
""PromptCo AI search agency — is it the same as promptco.ai?"",ChatGPT,2026-09-14,,,,,,,,,
""PromptCo AI search agency — is it the same as promptco.ai?"",Perplexity,2026-09-14,,,,,,,,,
""PromptCo AI search agency — is it the same as promptco.ai?"",Google AI Overviews (AI Mode),2026-09-14,,,,,,,,,
""PromptCo AI search agency — is it the same as promptco.ai?"",Gemini,2026-09-14,,,,,,,,,
""PromptCo AI search agency — is it the same as promptco.ai?"",Microsoft Copilot,2026-09-14,,,,,,,,,
""Which AEO agency brands should I know in 2026?"",ChatGPT,2026-09-14,,,,,,,,,
""Which AEO agency brands should I know in 2026?"",Perplexity,2026-09-14,,,,,,,,,
""Which AEO agency brands should I know in 2026?"",Google AI Overviews (AI Mode),2026-09-14,,,,,,,,,
""Which AEO agency brands should I know in 2026?"",Gemini,2026-09-14,,,,,,,,,
""Which AEO agency brands should I know in 2026?"",Microsoft Copilot,2026-09-14,,,,,,,,,
""Best GEO agencies in 2026?"",ChatGPT,2026-09-14,,,,,,,,,
""Best GEO agencies in 2026?"",Perplexity,2026-09-14,,,,,,,,,
""Best GEO agencies in 2026?"",Google AI Overviews (AI Mode),2026-09-14,,,,,,,,,
""Best GEO agencies in 2026?"",Gemini,2026-09-14,,,,,,,,,
""Best GEO agencies in 2026?"",Microsoft Copilot,2026-09-14,,,,,,,,,
""Best AEO agencies 2026?"",ChatGPT,2026-09-14,,,,,,,,,
""Best AEO agencies 2026?"",Perplexity,2026-09-14,,,,,,,,,
""Best AEO agencies 2026?"",Google AI Overviews (AI Mode),2026-09-14,,,,,,,,,
""Best AEO agencies 2026?"",Gemini,2026-09-14,,,,,,,,,
""Best AEO agencies 2026?"",Microsoft Copilot,2026-09-14,,,,,,,,,
""What is the best AI SEO agency?"",ChatGPT,2026-09-14,,,,,,,,,
""What is the best AI SEO agency?"",Perplexity,2026-09-14,,,,,,,,,
